city_norm,item_id,month,forecasted_qty
phagwara,10000296,2025-12-01,2.6902637
prayagraj,10000296,2025-12-01,25.608364
puducherry,10000296,2025-12-01,5.473061
pune,10000296,2025-12-01,100.85694
puri,10000296,2025-12-01,7.2139196
purnia,10000296,2025-12-01,6.5026193
raebareli,10000296,2025-12-01,5.473061
raipur,10000296,2025-12-01,13.842883
rajahmundry,10000296,2025-12-01,10.280016
rajkot,10000296,2025-12-01,10.741354
rajpura,10000296,2025-12-01,5.473061
rampur,10000296,2025-12-01,6.5026193
ranchi,10000296,2025-12-01,34.030144
rewa,10000296,2025-12-01,7.1066656
rewari,10000296,2025-12-01,5.473061
rohtak,10000296,2025-12-01,10.994833
saharanpur,10000296,2025-12-01,5.284586
sangli,10000296,2025-12-01,2.6902637
satara,10000296,2025-12-01,4.060709
satna,10000296,2025-12-01,5.8862624
shillong,10000296,2025-12-01,7.2298346
shimoga,10000296,2025-12-01,5.473061
sikar,10000296,2025-12-01,6.5026193
siliguri,10000296,2025-12-01,8.189289
sirsa,10000296,2025-12-01,5.473061
sitapur,10000296,2025-12-01,5.473061
solan,10000296,2025-12-01,6.7105803
solapur,10000296,2025-12-01,6.66487
sonipat,10000296,2025-12-01,9.36714
sri ganganagar,10000296,2025-12-01,5.3070736
sundar nagar,10000296,2025-12-01,7.252264
surat,10000296,2025-12-01,12.731253
thrissur,10000296,2025-12-01,5.473061
tiruchirappalli,10000296,2025-12-01,3.7813032
tirupati,10000296,2025-12-01,5.8862624
trivandrum,10000296,2025-12-01,4.3643427
tumkur,10000296,2025-12-01,6.35945
udaipur,10000296,2025-12-01,12.937081
udupi,10000296,2025-12-01,5.473061
una,10000296,2025-12-01,5.473061
unnao,10000296,2025-12-01,2.6902637
vadodara,10000296,2025-12-01,23.259922
vapi,10000296,2025-12-01,2.8526208
varanasi,10000296,2025-12-01,21.715546
vellore,10000296,2025-12-01,5.473061
vijayawada,10000296,2025-12-01,28.553448
vizag,10000296,2025-12-01,27.24759
vizianagaram,10000296,2025-12-01,5.6499257
vrindavan,10000296,2025-12-01,4.827073
warangal,10000296,2025-12-01,11.659914
yamunanagar,10000296,2025-12-01,6.5026193
zirakpur,10000296,2025-12-01,10.987588
agra,10000867,2025-12-01,652.0066
ahmedabad,10000867,2025-12-01,333.83258
ahmednagar,10000867,2025-12-01,9.866053
ajmer,10000867,2025-12-01,53.20063
akola,10000867,2025-12-01,19.620485
aligarh,10000867,2025-12-01,310.60577
alwar,10000867,2025-12-01,69.68894
ambala,10000867,2025-12-01,118.353226
amravati,10000867,2025-12-01,21.951466
amritsar,10000867,2025-12-01,433.65604
anand,10000867,2025-12-01,20.805523
ankleshwar,10000867,2025-12-01,19.242706
asansol,10000867,2025-12-01,129.92595
aurangabad,10000867,2025-12-01,20.87013
