city_norm,item_id,oct_actual_sales
delhi,10002610,5333.0
deoghar,10002610,19.0
deoria,10002610,6.0
dewas,10002610,12.0
dhanbad,10002610,75.0
dharamshala,10002610,4.0
durg,10002610,107.0
durgapur,10002610,27.0
faridabad,10002610,672.0
farrukhabad,10002610,5.0
fatehpur,10002610,5.0
firozabad,10002610,2.0
firozpur,10002610,9.0
gandhidham,10002610,25.0
gaya,10002610,16.0
ghaziabad,10002610,760.1999999999999
goa,10002610,76.0
gonda,10002610,7.0
gorakhpur,10002610,107.0
gurgaon,10002610,1695.0
guwahati,10002610,268.0
gwalior,10002610,62.0
haldwani,10002610,57.0
hamirpur,10002610,2.0
hapur,10002610,4.0
hardoi,10002610,9.0
haridwar,10002610,36.0
hazaribagh,10002610,8.0
hisar,10002610,30.0
hoshiarpur,10002610,7.0
indore,10002610,286.0
jabalpur,10002610,130.0
jaipur,10002610,718.0
jalandhar,10002610,97.0
jalgaon,10002610,7.0
jammu,10002610,64.0
jamnagar,10002610,18.0
jamshedpur,10002610,145.0
jaunpur,10002610,8.0
jhansi,10002610,21.0
jind,10002610,9.0
jodhpur,10002610,62.0
kaithal,10002610,6.0
kalol,10002610,5.0
kanpur,10002610,450.0
kapurthala,10002610,4.0
karnal,10002610,36.0
kashipur,10002610,2.0
khanna,10002610,2.0
kharagpur,10002610,25.0
kharar,10002610,67.0
kolhapur,10002610,15.0
kolkata,10002610,2653.0
kota,10002610,45.0
kotdwar,10002610,1.0
kurukshetra,10002610,11.0
lakhimpur,10002610,7.0
latur,10002610,4.0
lonavala,10002610,11.0
lucknow,10002610,742.0
ludhiana,10002610,101.0
mainpuri,10002610,2.0
manali,10002610,2.0
mathura,10002610,17.0
meerut,10002610,104.0
mehsana,10002610,7.0
modinagar,10002610,10.0
moga,10002610,3.0
mohali,10002610,85.0
moradabad,10002610,46.0
morbi,10002610,1.0
mumbai,10002610,2575.0
muradnagar,10002610,4.0
muzaffarnagar,10002610,15.0
muzaffarpur,10002610,41.0
nadiad,10002610,5.0
nagpur,10002610,270.0
nanded,10002610,16.0
narmadapuram,10002610,11.0
nashik,10002610,48.0
navsari,10002610,12.0
noida,10002610,1773.8
palwal,10002610,13.0
panchkula,10002610,59.0
panipat,10002610,32.0
pathankot,10002610,9.0
patiala,10002610,43.0
patna,10002610,224.0
phagwara,10002610,19.0
prayagraj,10002610,92.0
pune,10002610,632.0
puri,10002610,25.0
purnia,10002610,27.0
raebareli,10002610,17.0
raipur,10002610,324.0
rajkot,10002610,70.0
rajpura,10002610,2.0
rampur,10002610,30.0
ranchi,10002610,173.0
ratlam,10002610,23.0
rewa,10002610,13.0
rewari,10002610,17.0
rishikesh,10002610,20.0
rohtak,10002610,25.0
roorkee,10002610,28.0
rudrapur,10002610,33.0
saharanpur,10002610,23.0
sangli,10002610,14.0
sangrur,10002610,2.0
satara,10002610,6.0
satna,10002610,11.0
shillong,10002610,22.0
sikar,10002610,19.0
siliguri,10002610,52.0
sirsa,10002610,14.0
sitapur,10002610,7.0
solan,10002610,5.0
solapur,10002610,6.0
sonipat,10002610,61.0
sri ganganagar,10002610,19.0
sundar nagar,10002610,1.0
surat,10002610,68.0
udaipur,10002610,48.0
ujjain,10002610,12.0
una,10002610,13.0
unnao,10002610,8.0
vadodara,10002610,126.0
vapi,10002610,6.0
varanasi,10002610,109.0
vrindavan,10002610,18.0
yamunanagar,10002610,26.0
zirakpur,10002610,69.0
ajmer,10003268,1.0
bikaner,10003268,1.0
jaipur,10003268,15.0
jodhpur,10003268,1.0
udaipur,10003268,2.0
agra,10004348,19.0
ahmedabad,10004348,42.0
ahmednagar,10004348,2.0
ajmer,10004348,3.0
aligarh,10004348,5.0
alwar,10004348,2.0
ambala,10004348,6.0
amravati,10004348,2.0
amritsar,10004348,19.0
anand,10004348,1.0
ankleshwar,10004348,1.0
asansol,10004348,8.0
aurangabad,10004348,1.0
baddi,10004348,2.0
bahadurgarh,10004348,2.0
