city_norm,item_id,month,lag_1_m3,lag_2_m3,rolling_mean_3m_m3,item_city_te,monthly_mrp_median,month_sin,month_cos,item_te,city_te,is_intermittent,month_num,own_price_avg,own_mrp_avg,own_price_sales_wt,comp_price_avg,comp_price_sales_wt,own_wt_osa_avg,own_estimated_budget_consumed_v2,gc_campaign_type,comp_total_impressions,comp_ad_impressions,comp_ad_ratio,platform_revenue_mom_lag1,platform_revenue_log_lag1,city_count_mom_lag1,store_count_mom_lag1,category_size_mom_lag1,brand_category_share_lag1,brand_share_change_lag1,forecasted_qty
vizianagaram,10004351,2025-12-01,1.0,1.0,,1.0,215.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.146892655367232,0,12,212.8,223.66666666666666,214.0,170.91865079360002,158.333333333,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.144117
vrindavan,10004351,2025-12-01,7.0,3.0,2.666666666666515,3.125,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,15.54093567251462,0,12,221.875,233.4375,216.0,165.7833333333125,156.619047619,0.5333333333333333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,3.1793754
warangal,10004351,2025-12-01,9.0,3.0,2.9999999999998486,4.5,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,9.855172413793104,0,12,214.0,225.0,214.0,178.0704481479,177.9024607723333,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,6.240739
yamunanagar,10004351,2025-12-01,9.0,9.0,8.666666666666515,9.125,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,17.425981873111784,0,12,226.56817487589998,238.46590165276666,226.83333333333334,174.2427844419,174.16824841266666,0.8542938154333334,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,10.7639
zirakpur,10004351,2025-12-01,57.0,37.0,50.99999999999985,52.142857142857146,480.0,-2.4492935982947064e-16,1.0,54.276780544296464,72.89235569422777,0,12,,,,,,,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,59.73172
ahmedabad,10004352,2025-12-01,54.0,43.0,47.666666666666515,45.214285714285715,490.0,-2.4492935982947064e-16,1.0,15.852487135506003,140.2876304023845,0,12,228.32144274116666,243.74555174990002,228.72458614675926,179.33223462026666,179.52025512433335,0.96831232412,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,54.17822
ajmer,10004352,2025-12-01,3.0,4.0,2.3333333333331816,2.7,245.0,-2.4492935982947064e-16,1.0,15.852487135506003,12.345901639344262,0,12,228.34104739596665,242.1888452377,227.31942632000002,175.6181404631724,,0.7790002218366666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.1993084
akola,10004352,2025-12-01,1.0,,,1.0,245.0,-2.4492935982947064e-16,1.0,15.852487135506003,5.230769230769231,0,12,228.55555555555554,245.0,228.55555555555554,170.81929747203705,170.81929747203705,0.9,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
alwar,10004352,2025-12-01,5.0,2.0,,3.6666666666666665,245.0,-2.4492935982947064e-16,1.0,15.852487135506003,14.045383411580595,0,12,230.3855237099,245.0,230.5110666666,186.99561698743335,183.2244819284,0.7595752030633334,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.612509
amravati,10004352,2025-12-01,2.0,1.0,,1.5,245.0,-2.4492935982947064e-16,1.0,15.852487135506003,7.728682170542636,0,12,228.5,245.0,225.5,174.20042376873334,193.79417186950002,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
